,query,speciesCode,comName,sciName,order,family,genus,species,description
56,Coopers hawk,coohaw,Cooper's Hawk,Accipiter Cooperii,Accipitriformes,Accipitridae,Accipiter,cooperii,"Small to medium-sized hawk with relatively short rounded wings and rounded tail. Adults are gray above with pale orange barring below; immatures are browner and streaky. Very similar to Sharp-shinned Hawk, but larger with bigger head. Also note deeper, slower wingbeats. Breeds in forested areas; more common in suburban areas than Sharp-shinned Hawk. Feeds mainly on birds captured in flight. Often stalks feeders in search of prey."
57,Bald eagle,baleag,Bald Eagle,Haliaeetus Leucocephalus,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,"Majestic adults have blackish-brown body with white head and tail. Several stages of immature plumages aren't quite as majestic, from fully dark brown to messy and mottled with large patches of white. Look especially for white mottling on the belly on immatures. Scavenges and hunts near bodies of water. Soars with wings flat, like a large, dark plank. Head appears large in flight; projects far in front of wings. Surprisingly weak-sounding vocalization is a series of high-pitched whistles."
58,Swainsons hawk,swahaw,Swainson's Hawk,Buteo Swainsoni,Accipitriformes,Accipitridae,Buteo,swainsoni,"Longer-winged than Red-tailed Hawk, but otherwise the same size. Found in prairies and agricultural regions of western U.S. and Canada in warm months. Varies in color from rather pale with white belly to completely brown. Light morph is more common with brown breast band contrasting with white throat and belly. In flight from below, note dark primaries and secondaries contrasting with whitish forewing of light morph. Winters in South America and along Pacific coast of Central America. Extremely rare in U.S. in winter."
59,Red-tailed hawk,rethaw,Red-tailed Hawk,Buteo Jamaicensis,Accipitriformes,Accipitridae,Buteo,jamaicensis,"Most common roadside raptor across much of North America. Often perches atop telephone poles, light posts, and edges of trees. Incredible variation in plumages, including less common dark morphs and various regional differences. Eastern adults have brilliant reddish-orange tail and pale underparts with obvious band of dark marks across belly. Western birds are typically darker. Immatures do not have a red tail."
60,Great horned owl,grhowl,Great Horned Owl,Bubo Virginianus,Strigiformes,Strigidae,Bubo,virginianus,"Large and widespread owl with distinctive ear tufts. Found in a variety of habitats from dense woods to prairie and deserts with at least some trees. Also, found in wooded towns and suburbs. Typically well-camouflaged dark brown overall, but varies in color. Often engages in haunting duets, with males and females hooting back and forth. Preys upon a variety of animals, including mammals, birds and reptiles."
61,Western screech-owl,wesowl1,Western Screech-Owl,Megascops Kennicottii,Strigiformes,Strigidae,Megascops,kennicottii,"Pint-sized, cryptically patterned gray owl with fine streaks of black and white; short ear tufts. Found in a variety of wooded habitats, but favors riparian and deciduous areas. Can be found in urban areas and parks. Feeds mostly on small mammals, birds, and insects. Nests in cavities. Listen for its voice at night: a series of short whistled notes that accelerates at the end. Unlike counterpart, Eastern Screech-Owl, they do not have a rufous color morph, only gray morph."
62,Burrowing owl,burowl,Burrowing Owl,Athene Cunicularia,Strigiformes,Strigidae,Athene,cunicularia,"Small, long-legged owl of open grassy habitats. Appears brown at a distance with irregular white spotting. Yellow eyes. Typically found on the ground or perched on low fence posts or rocks. Active during day and night when it hunts mainly for insects and small mammals. When agitated, it stands erect and abruptly bows down. Nests in a burrow, often dug by a prairie dog or tortoise."
63,Peregrine falcon,perfal,Peregrine Falcon,Falco Peregrinus,Falconiformes,Falconidae,Falco,peregrinus,"Sleek, fast-flying large falcon. Always look for a grayish back in adults, long wings that almost reach the tail tip, and powerful but slender build. Dark mark below each eye varies in shape and size. Juveniles are more heavily patterned below than adults, and can be quite brownish above. Patterning varies considerably across a wide global range, with back color ranging from pale gray in Central Asian “Red-capped” to slaty-blue across much of northern Eurasia North America, to almost black in Asian “Shaheen.” Chases prey down at high speeds with continuous powerful wingbeats. Becoming increasingly common in parts of range, especially in cities, where they can nest on tall buildings and feed on pigeons. Adaptable, and can be seen in a wide range of habitats; often encountered in areas with steep cliffs, as well as around coastal mudflats and open areas with shorebirds."
64,American kestrel,amekes,American Kestrel,Falco Sparverius,Falconiformes,Falconidae,Falco,sparverius,"Petite falcon roughly the same size as Mourning Dove, but with a larger head and wider tail. In flight, note long, narrow wings and square-tipped tail. Often seen perched on telephone wires, along roadsides, in open country with short vegetation and few trees. From a perch or hovering, they usually drop to the ground to snatch small mammals and insects. Nests in cavities. Widespread across the Americas."
65,Prairie falcon,prafal,Prairie Falcon,Falco Mexicanus,Falconiformes,Falconidae,Falco,mexicanus,"Large, brown-and-white falcon of dry, open areas in western North America. Pale brown above and white below, with dark streaks and prominent mustache. Note the dark armpits to separate from Peregrine Falcon. Nests on cliffs, but ranges out over nearby grasslands and deserts when hunting. Feeds mainly on small rodents and birds."
66,Gambels quail,gamqua,Gambel's Quail,Callipepla Gambelii,Galliformes,Odontophoridae,Callipepla,gambelii,"Small and rotund with obvious teardrop-shaped plumes protruding from forehead. Looks gray and brown at a distance; look for buffy belly with a black patch. Males have black face and longer, more curled crest than females. Usually seen in flocks running on the ground in deserts, often close to dense thickets for cover. Well-accustomed to humans in many areas; a frequent visitor to feeders. Listen for loud wailing calls and various clucks and chuckles. Separated from similar California Quail by range; also note Gambel’s lacks scaly pattern on belly and has brighter chestnut-colored crown and sides."
67,House Finch,houfin,House Finch,Haemorhous Mexicanus,Passeriformes,Fringillidae,Haemorhous,mexicanus,"Frequents suburban settings across North America, along with open woods, brushy field edges, and deserts. Males vary in shades and intensity of red. Some males are yellow or orange. Females are drab gray-brown overall with plain faces and blurry streaks on underparts. Similar to Purple and Cassin's Finch, but House Finch males are more orangey-red with color equally bright on crown, throat, and breast. Red color is mostly restricted to head and upper chest, contrasting with cold gray-brown nape, back, and wings. Pale sides show distinct brown streaks, lacking red tones. Females lack bold face pattern and have more diffuse patterning overall. Often sings loudly in neighborhoods and visits feeders."
68,House Sparrow,houspa,House Sparrow,Passer Domesticus,Passeriformes,Passeridae,Passer,domesticus,"Widespread and abundant in cities, neighborhoods and farms. Avoids dense woods. Flocks cluster in dense bushes, bustling around and chattering to one another. Males have smart black bibs, bright rufous napes, and stunningly patterned wings with brilliant buffs and browns. Underparts are pale pearly-gray. Females are plain brown with cute face and lighter eyebrow. Native to Eurasia; introduced to much of the rest of the world."
69,Black-Throated Sparrow,bktspa,Black-throated Sparrow,Amphispiza Bilineata,Passeriformes,Passerellidae,Amphispiza,bilineata,"Evidence that not all sparrows are dull, Black-throated Sparrow is a sharp-dressed denizen of open, shrubby desert. Gray-brown overall with distinctive black-and-white face pattern, dark tail with white corners. Streakier juvenile shows a hint of adult's face pattern, especially white eyebrow. Typically found on or near the ground in pairs or small flocks. Tinkling song with short trills and chips."
70,White-crowned Sparrow,whcspa,White-crowned Sparrow,Zonotrichia Leucophrys,Passeriformes,Passerellidae,Zonotrichia,leucophrys,"Large, long-tailed sparrow with striking head pattern. Adults have black and white stripes on the head, while immatures show brown and tan. Underparts are plain grayish without streaks. Bill color varies from yellow to pink, but always brighter than White-throated Sparrow. Breeds in brushy areas or thickets in open forest, often with conifers. In migration and winter, can be found in any brushy or weedy areas, often hopping on the ground. Visits feeders."
71,Loggerhead Shrike,logshr,Loggerhead Shrike,Lanius Ludovicianus,Passeriformes,Laniidae,Lanius,ludovicianus,"Black-masked bandit of open areas with some bushes and trees. Bold black, white, and gray pattern is distinctive; also note stout hooked bill. Usually seen singly or in pairs, often perched conspicuously on a treetop or utility wire. Fairly widespread in southern and western North America, but never abundant, and declining over much of range. Carnivorous habits make shrikes unique among passerines; they feed on rodents and small birds. Undulating flight; watch for white patches in the wings. May overlap with Northern Shrike in winter; Loggerhead is slightly smaller, darker, and lacks white around the eye."
72,American Crow,amecro,American Crow,Corvus Brachyrhynchos,Passeriformes,Corvidae,Corvus,brachyrhynchos,"This is the common crow over much of the U.S. and Canada. Most easily identified by voice, a familiar “caw,” often repeated. Common in any open habitats, including fields, open woodlands, marshes, and cities, thriving around humans. Very social, usually seen in flocks, sometimes numbering in the hundreds or even thousands. Aggressive, sometimes seen chasing away hawks and owls. Separated from ravens by smaller size, smaller bill, shorter tail, and shorter, broader wings. Compare with Fish Crow, which is extremely similar in appearance, and best separated by voice. Includes the species formerly known as Northwestern Crow."
73,Rosy-faced lovebird,peflov,Rosy-faced Lovebird,Agapornis Roseicollis,Psittaciformes,Psittaculidae,Agapornis,roseicollis,"A small, short-tailed parrot with a soft pink face and dark eyes. Native to southwestern Africa, but feral populations occur in Arizona and in Hawaii; a common pet species, and escapees may occur anywhere. Wild birds are leaf green with brilliant blue rumps, but escaped domestic types may be mostly blue or yellow. Inhabits dry forests and river valleys; present in cities in both natural and introduced range. Call is a shrill, high whistle."
74,Common Raven,comrav,Common Raven,Corvus Corax,Passeriformes,Corvidae,Corvus,corax,"Large, glossy-black bird with a wedge-shaped tail. Larger than a crow with a longer, thicker bill. Distinctive shape in flight, with rather long, swept-back wings and long tail. Note smoother, steadier wingbeats compared with faster, choppier wingbeats of crows. Extensive range throughout the Northern Hemisphere. Found in a wide variety of habitats, including desert, coniferous forest, coastlines, sagebrush, tundra, and grasslands. Often solitary or in pairs, but can gather in small groups. Typical call is a loud, guttural croak, but makes an astonishing variety of other strange noises. Compare with Chihuahuan Raven in the southwestern U.S. and Mexico, and with various large, all-dark crows and ravens in Europe and Asia."
75,Western Meadowlark,wesmea,Western Meadowlark,Sturnella Neglecta,Passeriformes,Icteridae,Sturnella,neglecta,"Streaked brown above and yellow below with distinctive black ""V"" on breast. In flight, short wings and spiky tail with white outer feathers are apparent. Breeds in fields and grasslands throughout much of western North America, regularly as far east as Michigan. Winters in a wider range of open habitats, even agricultural fields and roadsides. Extremely similar to Eastern Meadowlark and best distinguished by voice: listen for musical gurgling song and ""chuk"" calls. In winter, plumage looks paler and more washed-out than Eastern Meadowlark, with a less contrasting head pattern. Western is also more likely to be in flocks and areas with shorter grass (less pristine, extensive grasslands)."
76,Marsh Wren,marwre,Marsh Wren,Cistothorus Palustris,Passeriformes,Troglodytidae,Cistothorus,palustris,"Habitat is the best clue for identifying this wren; rarely strays from cattail marshes and rushes for breeding. Migrants occasionally move into wet fields. Often difficult to see well as it skulks through grasses. Its plumage is rather bright rufous with darker brown cap, contrasting whitish eyebrow and throat, and black-and-white stripes on back. Overall darker and more contrasting than similar Sedge Wren."
77,Crissal Thrasher,crithr,Crissal Thrasher,Toxostoma Crissale,Passeriformes,Mimidae,Toxostoma,crissale,"Dark grayish thrasher with distinctive rufous undertail coverts. Bill long and strongly curved. Tail long and dark. Obvious dark line separating white mustache and white throat. Yellow eye. Secretive and uncommon, although perches conspicuously when singing. Found in brushy deserts. With a good view, easily distinguished from more common Curve-billed Thrasher by darker gray color and rufous undertail coverts. Listen for jumbled, rambling song."
78,Lazuli Bunting,lazbun,Lazuli Bunting,Passerina Amoena,Passeriformes,Cardinalidae,Passerina,amoena,"Breeding males are unmistakable: bright cerulean above with bold white wingbars, white belly, and orange breast. Females are plain buffy brown with paler wingbars and slightly brighter orangey breast. Breeds on shrubby hillsides and other semiopen habitats in western North America. Males often sing from a high exposed perch. Winters mainly in Mexico, where it frequently gathers in flocks in weedy fields. Females can be very difficult to distinguish from Indigo Bunting, although their range doesn't overlap much. Lazuli never shows streaks below like female Indigo Bunting often does; also note bolder wingbars, brighter breast, and less contrasting pale throat."
79,Roseate Spoonbill,rosspo1,Roseate Spoonbill,Platalea Ajaja,Pelecaniformes,Threskiornithidae,Platalea,ajaja,"Unique pink wading bird with long, flat, spoon-shaped bill. Adults are mostly pink overall, with scarlet wing patches, orange tail, and bare pale-green head. Immatures are duller than adults but still washed with pale pink. Sometimes mistaken for a flamingo, but note spoonbill's distinctive bill, shorter legs, and shorter neck. Occurs in freshwater and saltwater wetlands from the Gulf Coast of the U.S. through much of South America. Feeds by sifting side-to-side through shallow water. Often in small loose groups, sometimes with other wading birds like storks and herons."
80,Bullocks Oriole,bulori,Bullock's Oriole,Icterus Bullockii,Passeriformes,Icteridae,Icterus,bullockii,"The common oriole in the western U.S., wintering throughout Mexico. Adult males have a large white wing patch and mostly orange face with a black eyeline. Females are duller overall, mostly gray on the belly, usually with brightest orange on the face. Immature males are similar to females, but usually slightly brighter and with a black throat and eyeline. Breeds in riparian corridors and open woods; winters in any wooded habitat. Visits feeders with nectar and fruits. Females can be very difficult to distinguish from Baltimore Oriole, and hybrids do occur. Bullock's is usually brightest on the face, not the breast."
81,Wilsons Warbler,wlswar,Wilson's Warbler,Cardellina Pusilla,Passeriformes,Parulidae,Cardellina,pusilla,"Small, active, bright yellow warbler. Most birds (adults of both sexes and young males) have a black cap; young females lack this feature. Also note the rather long, narrow tail that is actively flipped around while foraging. Extensive breeding range across northern and western North America; more common in the west than east. Prefers dense thickets, especially with willows and alders. Winters primarily in Mexico, extending as far south as Panama. Migrants and wintering birds are found in any brushy wooded habitat. Listen for husky chip notes. Compare with Yellow Warbler, but note Wilson’s is smaller, smaller-billed, and has a relatively longer, thinner tail."
82,Townsends Warbler,towwar,Townsend's Warbler,Setophaga Townsendi,Passeriformes,Parulidae,Setophaga,townsendi,"Brightly-colored warbler with a contrasting face pattern with dark cheeks and crown surrounded by bright yellow. Also shows olive back, bold white wingbars, and yellow on the breast. Intensity of color varies with age and sex; adult males are brightest, with black throat, while immatures are more washed out with a pale yellowish throat. Breeds in mature coniferous forests in northwestern North America. Winters from the Pacific coast of the U.S. to Costa Rica, with large numbers especially in the highlands of Mexico and Guatemala. Usually stays in the canopy. Sometimes gathers in large mixed flocks with other warblers and small songbirds, especially on the wintering grounds. Compare with plainer-faced Hermit Warbler, and beware that hybrids occur. Also similar to Black-throated Green Warbler, which overlaps in range most often on the wintering grounds; note Townsend’s darker cheeks and more extensive yellow on breast."
83,Warbling Vireo,warvir,Warbling Vireo,Vireo Gilvus,Passeriformes,Vireonidae,Vireo,gilvus,"Rather nondescript vireo with a blank face. Pale grayish-olive overall with a faint white eyebrow, darker grayish crown, and pale yellowish wash on the sides. Often confused with Philadelphia Vireo; note Warbling shows brightest color on sides (not throat) and fainter dark eyeline (especially indistinct in front of the eye). Warbling is also longer-tailed and has a slightly longer, thinner bill than Philadelphia. Scratchy warbling song is heard from treetops, particularly in riparian areas and cottonwoods. Migrants and wintering birds can be found in any wooded habitat, as far south as Central America."
84,Blue Grosbeak,blugrb1,Blue Grosbeak,Passerina Caerulea,Passeriformes,Cardinalidae,Passerina,caerulea,"Beefy, big-headed, large-billed bunting. Male is deep cobalt blue with rufous wingbars. Females are warm brown with rufous or buffy wingbars. Always look for enormous bill to separate from other buntings; also note unstreaked underparts and slightly longer tail. Swishes tail like other buntings. Fairly common in overgrown fields with hedgerows and bushes. Breeds mostly in the southern half of the U.S. and northern Mexico; winters throughout Central America. Often gathers in flocks in the winter."
85,Summer Tanager,sumtan,Summer Tanager,Piranga Rubra,Passeriformes,Cardinalidae,Piranga,rubra,"Large tanager with a hefty bill. Adult males are completely red; immature males are dull yellow-olive with blotchy patches of red. Females are variable in color, ranging from pale dull yellow to brighter orange. Can be confused with female Scarlet Tanager; Summer has a longer, paler bill and less contrast between wing and body color. Also compare with dustier-looking, stouter-billed Hepatic Tanager. Breeds in mature forests, favoring mixed deciduous and pine in the southeastern U.S. and riparian corridors in the western U.S. and northern Mexico. Extensive winter range from Mexico to Bolivia, where it can be found in any wooded area. Often gives a short, descending rattle “pit-a-tuck.”"
86,Tree Swallow,treswa,Tree Swallow,Tachycineta Bicolor,Passeriformes,Hirundinidae,Tachycineta,bicolor,"Common and widespread throughout most of North America, breeding as far north as Alaska and wintering to Panama. A medium-sized swallow, with gleaming white underparts. Adult males are bright iridescent blue-green above; females and immatures are duller brownish with limited or no iridescence. Always note compact shape, fairly broad wings, and slightly notched tail. Occurs in a variety of open habitats including grassy fields, lakes, and marshes. Often in flocks, sometimes mixed with other species of swallows. Breeds in cavities, including human-made nest boxes. Listen for cheery gurgling calls. Compare especially with Violet-green Swallow; note Tree Swallow does not show extensive white wrapping around the cheek or the sides of the rump."
87,Brown-crested Flycatcher,bncfly,Brown-crested Flycatcher,Myiarchus Tyrannulus,Passeriformes,Tyrannidae,Myiarchus,tyrannulus,"Fairly large flycatcher with large hooked bill. Brownish with paler gray throat, pale yellow belly, and rufous edges on flight feathers and tail. Similar to Ash-throated Flycatcher but has larger bill and different voice. Appears more washed out than Great Crested Flycatcher. Without a good view or hearing it well, sometimes best left unidentified. Widespread throughout Central and South America with limited range in US; found in woodland habitats especially near water. Variety of call notes include a liquid ""whip"" and various churs and trills."
88,Western Wood-Pewee,wewpew,Western Wood-Pewee,Contopus Sordidulus,Passeriformes,Tyrannidae,Contopus,sordidulus,"Drab grayish-brown flycatcher found in deciduous and mixed forests and edges. Nondescript overall with two pale wingbars; bill is usually mostly dark with only limited orange at the base. Note very long wings and larger size than Empidonax flycatchers. Typically seen on a high perch, occasionally sallying out to snatch an insect. Essentially identical to Eastern Wood-Pewee; averages darker overall with weaker upper wingbar, but reliably distinguished only by voice. Listen for buzzy tones, especially the “BREeerr” song."
89,Western Tanager,westan,Western Tanager,Piranga Ludoviciana,Passeriformes,Cardinalidae,Piranga,ludoviciana,"Breeding males are stunning bright yellow with a black back and red head. Females and immature males are duller, sometimes mostly grayish with just faint yellow on the face and undertail coverts. Always note two white wingbars and pale bill. Breeds mainly in coniferous or mixed forests at middle or high elevations. Winters as far south as Central America, where it can be found in any forested habitat. Often stays high in the canopy. Listen for male’s burry song in the spring and summer and short, rising rattle year-round."
90,Yellow Warbler,yelwar,Yellow Warbler,Setophaga Petechia,Passeriformes,Parulidae,Setophaga,petechia,"Typically yellow overall, but some immatures can be almost completely gray. Most males have reddish-brown streaks below; females are plainer and duller yellow. Always looks uniform and plain-faced, with rather stout bill for a warbler. Favors brushy habitats near water, often foraging in shrubs fairly low to the ground. Common and widespread throughout North America; winters in Central and northern South America. “Mangrove” Yellow Warbler, currently considered a subspecies, is found in mangroves and nearby brush from Mexico to Ecuador. Males have a distinctive reddish-brown head."
91,Lark Sparrow,larspa,Lark Sparrow,Chondestes Grammacus,Passeriformes,Passerellidae,Chondestes,grammacus,"Large and boldly patterned sparrow. Look for unique black, white, and rufous face pattern, brighter on adults and duller on immatures. Favors open areas with scattered trees when breeding; often forms flocks in brushy areas in winter. Usually feeds on the ground and flies up into trees when disturbed. In flight, notice long tail with broad white corners."
92,Song Sparrow,sonspa,Song Sparrow,Melospiza Melodia,Passeriformes,Passerellidae,Melospiza,melodia,"One of the most common and widespread sparrows in North America. Fairly large with a long, rounded tail. Overall coarsely patterned with gray and brown, usually with more reddish-brown wings and tail. Look especially for thick brown streaks on the underparts and a broad dark mustache stripe. Significant variation in plumage geographically: relatively pale and rusty in the southwestern U.S.; blacker streaking in California; overall dusky in the Pacific Northwest. Larger, longer-tailed and usually more rusty than Savannah Sparrow. Found in a variety of scrubby habitats both near and far from human development, especially edges of fields, often near water. Listen for husky ""chimp"" calls and melodic song with chips and trills."
93,Bronzed Cowbird,brocow,Bronzed Cowbird,Molothrus Aeneus,Passeriformes,Icteridae,Molothrus,aeneus,"Dark brown to matte black; males with iridescent bluish wings. Thick neck and heavy bill. Look for vampire-like staring red eye. Males have an incredible display where they puff out a mane of neck feathers and hover in a circle above the female. Found in a variety of open or semi-open areas, including pastures, forest edge, yards, and agricultural areas. Visits feeders. Often in flocks, sometimes with other blackbirds."
94,Brown-headed Cowbird,bnhcow,Brown-headed Cowbird,Molothrus Ater,Passeriformes,Icteridae,Molothrus,ater,"Stout bill. Short tail and stocky body. Males are glossy black with chocolate brown head. Females are gray-brown overall, without bold streaks, but slightly paler throat. Juveniles streaked brown. Found in open woods, farmland, and stockyards. Forages by walking on the ground. Often in flocks with other blackbirds in winter. Visits feeders. Unpopular due to their parasitic habit of laying eggs in nests of other birds."
95,Aberts Towhee,abetow,Abert's Towhee,Melozone Aberti,Passeriformes,Passerellidae,Melozone,aberti,"Large, plain, long-tailed sparrow. Drab grayish-brown overall, with dark mask like a Northern Cardinal. Also note pinkish bill and orange undertail coverts. Inhabits riparian corridors, especially in dense brush. Mainly occurs in the Sonoran Desert of Arizona, barely extending into surrounding states and northern Mexico. Rather secretive as it forages on the ground for seeds and insects. Visits feeders."
96,Green-tailed Towhee,gnttow,Green-tailed Towhee,Pipilo Chlorurus,Passeriformes,Passerellidae,Pipilo,chlorurus,"Large, long-tailed sparrow with unique color pattern: gray body, fairly bright greenish wings and tail, rufous crown, and white throat. Favors disturbed areas in montane forest and open slopes for breeding. In winter, usually found in dense thickets or mesquite in desert washes. Forages on the ground or in dense shrubs primarily for seeds and insects. Rarely visits feeders. Listen for unique nasal call note."
97,Yellow-headed Blackbird,yehbla,Yellow-headed Blackbird,Xanthocephalus Xanthocephalus,Passeriformes,Icteridae,Xanthocephalus,xanthocephalus,"Stunning and unmistakable blackbird of western North America. Males are black with a golden-yellow head and white patch on the wing. Females are all dark brown with messy yellow on the head and breast. Breeds in marshes, where males sing a grating, mechanical song. Winters in large flocks, mainly in Mexico. Often mixes with other species of blackbird. Forages in open areas, sometimes on barren dirt or in fields."
98,Lesser Goldfinch,lesgol,Lesser Goldfinch,Spinus Psaltria,Passeriformes,Fringillidae,Spinus,psaltria,"Tiny yellowish finch. Blackish conical bill is stout, but sharply pointed. Long wings are black with one white wingbar and large white patch at the base of the primaries. Small head. Short notched tail. Adult males have either green or black (Texas to South America) back. Regularly visits feeders. Females similar to American Goldfinch; note bill shape and color, usually more yellowish undertail coverts, less distinct wingbars, and more obvious white patch at base of primaries."
99,Yellow-rumped Warbler,yerwar,Yellow-rumped Warbler,Setophaga Coronata,Passeriformes,Parulidae,Setophaga,coronata,"One of the most common and widespread warblers; often the core member of mixed warbler flocks during migration, especially early in spring and late in fall. Two main populations: “Audubon’s” breeds mainly in the mountains of the western U.S. and into British Columbia; “Myrtle” breeds from the eastern U.S. across Canada to Alaska. All plumages show a bright yellow rump and yellow on the sides. Most “Audubon’s” have a yellow throat, but dull immature females can be off-white. “Myrtle” Warblers have a white throat that wraps around below the cheek. Both subspecies breed in coniferous or mixed forests, often near clearings or edges. In migration and winter, found in any woodland or open shrubby area, including coastal dunes, fields, parks, and residential areas. Often sallies out from a conspicuous perch to snatch insects. Also eats berries in the winter. Calls frequently: a flat “check” (Myrtle) or rising “chit” (Audubon’s). Another distinctive sedentary population, surely a separate species, occurs very locally in the highlands of Guatemala: Goldman’s Warbler. Males are strikingly black overall, and show a mostly yellow throat with white corners."
100,Inca Dove,incdov,Inca Dove,Columbina Inca,Columbiformes,Columbidae,Columbina,inca,"Essentially a ground dove with a long tail. Pale sandy color with scaly pattern covering entire body, unlike Common Ground Dove. Look for obvious white outer tail feathers and rufous wings in flight. Fairly common from the southwestern U.S. to far western Panama. Found in pairs or small groups in neighborhoods, parks, and scrubby desert habitats. Listen for repeated soft whistled song, sounding like “no hope.” Whirring wingbeats sound almost like a rattlesnake when it takes off."
101,Ladder Backed Woodpecker,labwoo,Ladder-backed Woodpecker,Dryobates Scalaris,Piciformes,Picidae,Dryobates,scalaris,"Small woodpecker of arid habitats, including mesquite scrub and dry woodlands. Look for black-and-white barring on the back, patterned flanks, and buffy wash on the body. Males have a red cap, often raised and fluffy-looking. Often forages on small branches, and sometimes visits bird feeders. Most similar to Nuttall’s Woodpecker, but range barely overlaps. Also compare with Downy Woodpecker, which has clean flanks and lacks bars on the back."
102,Cliff Swallow,cliswa,Cliff Swallow,Petrochelidon Pyrrhonota,Passeriformes,Hirundinidae,Petrochelidon,pyrrhonota,"Compact swallow with a short, square tail. In flight, looks slightly less angular than other swallows, with more rounded wings. Note pale buffy-orange rump, which separates Cliff from most other swallows in range. Also look for dark throat and pale forehead. Widespread and fairly common, especially in western North America. Breeds under bridges, overpasses, and culverts. Winters in South America. Compare especially with Cave Swallow, which has a paler throat and orange forehead."
103,White-faced Ibis,whfibi,White-faced Ibis,Plegadis Chihi,Pelecaniformes,Threskiornithidae,Plegadis,chihi,Long decurved bill. Dark overall with iridescent green and reddish tones on adults. Broad white border to reddish face and red eyes. Found mainly in shallow wetlands of the western U.S. Best distinguished from Glossy Ibis by range and facial pattern. Also note more subtle features: reddish legs and paler bronzy tones to wings.
104,American Coot,y00475,American Coot,Fulica Americana,Gruiformes,Rallidae,Fulica,americana,"Plump, chicken-like bird that acts like a duck. Gray overall with blacker head and white bill. Tiny tail and short wings. Feet are large, yellow-green, and oddly lobed. Head jerks back and forth when swimming. Forages for aquatic vegetation anywhere with water: ponds, city parks, marshes, reservoirs, lakes, ditches, and saltmarshes."
105,Common Gallinule,comgal1,Common Gallinule,Gallinula Galeata,Gruiformes,Rallidae,Gallinula,galeata,"Blackish, chicken-like marsh bird, often found near cattails, never far from water. Often seen swimming, picking at the water's surface, or walking along the edge of aquatic vegetation. Thick legs and long toes are drab yellow. Adults have bright red bill with yellow tip, thin white side stripe, and some white under the tail. Immatures are paler and grayer than adults, lacking brightly colored bill."
106,Pied-billed Grebe,pibgre,Pied-billed Grebe,Podilymbus Podiceps,Podicipediformes,Podicipedidae,Podilymbus,podiceps,"Small brown grebe with a stout bill. Note dark eyes. During breeding season, look for black ring around white bill. In winter, neck is often washed with a cinnamon tone. Juvenile has stripes on head. Fairly common and widespread throughout the Americas, where it occurs on ponds and marshes, often with emergent vegetation. Frequently dives underwater to feed on fish."
107,Lesser Scaup,lessca,Lesser Scaup,Aythya Affinis,Anseriformes,Anatidae,Aythya,affinis,"Peak-headed diving duck. Males have black breast, finely-barred gray back, whitish sides (often slightly dusty-looking), and yellow eye. Head appears black with a purplish or greenish sheen in good light. Females are brown overall with white patch at base of bill and yellow eye. Very similar to Greater Scaup; note Lesser’s peaked head shape with angle near the rear of crown, slimmer cheeks, less extensive white stripe on wing in flight, and smaller, narrower bill. Also similar to Ring-necked Duck, but Lesser Scaup has grayer back and whiter sides. Usually in flocks or pairs on a variety of wetland habitats, from small ponds to large lakes and bays. Slightly more likely to be seen on smaller bodies of water, especially fresh water, than Greater Scaup, but much overlap. Frequently in mixed flocks with other Aythya ducks. Widespread across North America, with more southerly range extent than Greater Scaup, regularly reaching northern South America."
108,Ring-necked Duck,rinduc,Ring-necked Duck,Aythya Collaris,Anseriformes,Anatidae,Aythya,collaris,"A relatively small diving duck with a tall peaked crown. Males are handsome with glossy black head and back, clean gray sides, and a brighter white spur on the side. Females are grayish-brown, often with a paler patch at the base of the bill and a white eyering. Both sexes have a white band near the tip of gray bill. Also note gray, not white, wingstripe in flight. Usually favors small bodies of water, such as beaver ponds and cattail marshes, but also occurs on larger lakes, rivers, and bays. Can be found in mixed flocks with other diving ducks, although usually in smaller numbers than scaup. Compare with both species of scaup and Redhead (especially females)."
109,American Wigeon,amewig,American Wigeon,Mareca Americana,Anseriformes,Anatidae,Mareca,americana,"Breeding males have obvious white blaze on forehead and broad green slash behind eye. Females are plainer brown with rusty sides. Females are very difficult to distinguish from female Eurasian Wigeon; note colder grayish-brown head on American that contrasts with warmer orangey sides. Also look for brighter white, not gray, underwings in flight, but this can be difficult to judge, especially at a distance. Widespread and common in North America, occasionally wintering as far south as northern South America. Typically in flocks on lakes and wetlands, often grazing in nearby fields. Regular vagrant to Europe."
110,Belted Kingfisher,belkin1,Belted Kingfisher,Megaceryle Alcyon,Coraciiformes,Alcedinidae,Megaceryle,alcyon,"Stocky and large-headed with a shaggy crest. Bill is long, straight, thick, and pointed. Powder blue above with white underparts and blue breast band. Females have additional rusty band across belly. Almost always solitary, perched along edges of streams, lakes, and estuaries. Flies along rivers and shorelines giving loud rattling calls. Hunts for fish by plunging headfirst into the water, either directly from a perch or hovering."
